folder,target,response,verifier,subset_mode,seeds,elapsed_s,wb_cross_model_probe_emnlp2025_metrics_by_seed.csv,wb_cross_model_probe_emnlp2025_metrics_summary.csv,wb_cross_model_probe_emnlp2025_test_scores.csv,wb_cross_model_probe_emnlp2025_run_report.json,complete
/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-14/all_whitebox/wb_cross_model_probe_emnlp2025_nibi/Claude_Opus_4.6_Anthropic___microsoft_phi-4-mini-instruct,Claude Opus 4.6 (Anthropic),HuggingFaceTB/SmolLM3-3B,microsoft/Phi-4-mini-instruct,both,"11,22,33",72.55442643165588,Y,Y,Y,Y,Y
/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-14/all_whitebox/wb_cross_model_probe_emnlp2025_nibi/DeepSeek_V3.2_DeepSeek___microsoft_phi-4-mini-instruct,DeepSeek V3.2 (DeepSeek),HuggingFaceTB/SmolLM3-3B,microsoft/Phi-4-mini-instruct,both,"11,22,33",65.07759070396423,Y,Y,Y,Y,Y
/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-14/all_whitebox/wb_cross_model_probe_emnlp2025_nibi/GPT-5.2_OpenAI___microsoft_phi-4-mini-instruct,GPT-5.2 (OpenAI),HuggingFaceTB/SmolLM3-3B,microsoft/Phi-4-mini-instruct,both,"11,22,33",62.587589502334595,Y,Y,Y,Y,Y
/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-14/all_whitebox/wb_cross_model_probe_emnlp2025_nibi/Grok_4_xAI___microsoft_phi-4-mini-instruct,Grok 4 (xAI),HuggingFaceTB/SmolLM3-3B,microsoft/Phi-4-mini-instruct,both,"11,22,33",72.56715083122253,Y,Y,Y,Y,Y
/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-14/all_whitebox/wb_cross_model_probe_emnlp2025_nibi/Llama_4_Maverick_17B_Groq___microsoft_phi-4-mini-instruct,Llama 4 Maverick 17B (Groq),HuggingFaceTB/SmolLM3-3B,microsoft/Phi-4-mini-instruct,both,"11,22,33",62.784916162490845,Y,Y,Y,Y,Y
/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-14/all_whitebox/wb_cross_model_probe_emnlp2025_nibi/Qwen3_Next_80B_OpenRouter___microsoft_phi-4-mini-instruct,Qwen3 Next 80B (OpenRouter),HuggingFaceTB/SmolLM3-3B,microsoft/Phi-4-mini-instruct,both,"11,22,33",61.36821508407593,Y,Y,Y,Y,Y
/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-14/all_whitebox/wb_cross_model_probe_emnlp2025_nibi_claude_rerun_qwen35_4b_phi/Claude_Opus_4.6_Anthropic___microsoft_phi-4-mini-instruct,Claude Opus 4.6 (Anthropic),Qwen/Qwen3.5-4B,microsoft/Phi-4-mini-instruct,both,"11,22,33",41.42871975898743,Y,Y,Y,Y,Y
/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-14/wb_cross_model_probe_emnlp2025_nibi/Claude_Opus_4.6_Anthropic___microsoft_phi-4-mini-instruct,Claude Opus 4.6 (Anthropic),HuggingFaceTB/SmolLM3-3B,microsoft/Phi-4-mini-instruct,both,"11,22,33",72.55442643165588,Y,Y,Y,Y,Y
/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-14/wb_cross_model_probe_emnlp2025_nibi/DeepSeek_V3.2_DeepSeek___microsoft_phi-4-mini-instruct,DeepSeek V3.2 (DeepSeek),HuggingFaceTB/SmolLM3-3B,microsoft/Phi-4-mini-instruct,both,"11,22,33",65.07759070396423,Y,Y,Y,Y,Y
/Users/simar/LLM_Hallucination_Measure/data/results/whitebox/nibi_sync_2026-03-14/wb_cross_model_probe_emnlp2025_nibi/GPT-5.2_OpenAI___microsoft_phi-4-mini-instruct,GPT-5.2 (OpenAI),HuggingFaceTB/SmolLM3-3B,microsoft/Phi-4-mini-instruct,both,"11,22,33",62.587589502334595,Y,Y,Y,Y,Y
